solver,person,dev_true,dev_disturb,gap_true,gap_disturb
dp_full,p109343,0.0,252.44041797839145,0.0,0.0
dp_full,p110348,0.0,561.8080017913412,0.0,0.0
dp_full,p11887,0.0,139.59183018699923,0.0,0.0
dp_full,p122987,0.0,1387.9874053628282,0.0,0.0
dp_full,p125872,0.0,49.90088586141883,0.0,0.0
dp_full,p133262,0.0,151.36152032315886,0.0,0.0
dp_full,p134964,0.0,46.55095794755016,0.0,0.0
dp_full,p154376,0.0,83.39994086375646,0.0,0.0
dp_full,p154588,0.0,28.99111742413152,0.0,0.0
dp_full,p159425,0.0,100.91806399904635,0.0,0.0
dp_full,p166922,0.0,491.512881805495,0.0,0.0
dp_full,p167155,0.0,56.2551301046733,0.0,0.0
dp_full,p178403,0.0,90.18698310461788,0.0,0.0
dp_full,p181274,0.0,64.44563630647554,0.0,0.0
dp_full,p18365,0.0,35.69127428509398,0.0,0.0
dp_full,p192929,0.0,181.6273676930564,0.0,0.0
dp_full,p194150,0.0,429.2261313699278,0.0,0.0
dp_full,p203178,0.0,159.57973678793246,0.0,0.0
dp_full,p20692,0.0,218.5819545905329,0.0,0.0
dp_full,p20715,0.0,274.4924723451463,0.0,0.0
dp_full,p217809,0.0,918.9150656587522,0.0,0.0
dp_full,p218601,0.0,108.09743733521373,0.0,0.0
dp_full,p235649,0.0,73.30912195497194,0.0,0.0
dp_full,p246675,0.0,47.74323090550388,0.0,0.0
dp_full,p247238,0.0,285.1324178996301,0.0,0.0
dp_full,p248931,0.0,25.423466952670424,0.0,0.0
dp_full,p249927,0.0,164.6708156261907,0.0,0.0
dp_full,p259105,0.0,1539.871513319442,0.0,0.0
dp_full,p266483,0.0,78.0940678879274,0.0,0.0
dp_full,p271439,0.0,51.15305308443499,0.0,0.0
dp_full,p272058,0.0,38.111571474069024,0.0,0.0
dp_full,p272252,0.0,282.582453348336,0.0,0.0
dp_full,p272946,0.0,95.167807310302,0.0,0.0
dp_full,p284703,0.0,267.1567266658803,0.0,0.0
dp_full,p284890,0.0,147.62320659389843,0.0,0.0
dp_full,p288005,0.0,26.503981401365763,0.0,0.0
dp_full,p290602,0.0,63.62049129806377,0.0,0.0
dp_full,p303896,0.0,165.55469925933596,0.0,0.0
dp_full,p313123,0.0,43.77158314283997,0.0,0.0
dp_full,p317567,0.0,542.3178590027845,0.0,0.0
dp_full,p319639,0.0,129.45234100812922,0.0,0.0
dp_full,p325825,0.0,63.72612115906827,0.0,0.0
dp_full,p330259,0.0,45.89635940314383,0.0,0.0
dp_full,p332005,0.0,325.2691271417607,0.0,0.0
dp_full,p343087,0.0,32.77584193900657,0.0,0.0
dp_full,p347061,0.0,99.66883071412462,0.0,0.0
dp_full,p350615,0.0,13.465844517690698,0.0,0.0
dp_full,p35350,0.0,295.1834208818675,0.0,0.0
dp_full,p353866,0.0,146.40594749982677,0.0,0.0
dp_full,p369848,0.0,165.45971626311962,0.0,0.0
dp_full,p377239,0.0,19.838812128181644,0.0,0.0
dp_full,p379557,0.0,82.20104111244655,0.0,0.0
dp_full,p38685,0.0,436.280625145723,0.0,0.0
dp_full,p389818,0.0,18.48717164533207,0.0,0.0
dp_full,p392632,0.0,44.196887387578045,0.0,0.0
