solver,person,dev_true,dev_disturb,gap_true,gap_disturb
dp_full,p102032,0.0,93.99064205409012,0.0,0.0
dp_full,p103602,0.0,75.4702956701567,0.0,0.0
dp_full,p104498,0.0,34.20481681779893,0.0,0.0
dp_full,p110825,0.0,134.040239153559,0.0,0.0
dp_full,p120982,0.0,78.6222342998044,0.0,0.0
dp_full,p121783,0.0,218.10247545376603,0.0,0.0
dp_full,p134175,0.0,44.44920903685875,0.0,0.0
dp_full,p142959,0.0,11.061420127870406,0.0,0.0
dp_full,p157055,0.0,42.65985233823153,0.0,0.0
dp_full,p162675,0.0,174.31478179144528,0.0,0.0
dp_full,p165963,0.0,92.41839407388612,0.0,0.0
dp_full,p175986,0.0,160.43896948239126,0.0,0.0
dp_full,p181100,0.0,64.52577689455029,0.0,0.0
dp_full,p192642,0.0,297.0665629749737,0.0,0.0
dp_full,p192698,0.0,233.17247599192297,0.0,0.0
dp_full,p206668,0.0,25.220297759740102,0.0,0.0
dp_full,p214113,0.0,70.9583726459955,0.0,0.0
dp_full,p214161,0.0,117.07264656223788,0.0,0.0
dp_full,p216051,0.0,145.930881491724,0.0,0.0
dp_full,p21830,0.0,392.637928564992,0.0,0.0
dp_full,p22386,0.0,573.9624572863129,0.0,0.0
dp_full,p230386,0.0,230.28495961749465,0.0,0.0
dp_full,p233838,0.0,112.36319288165124,0.0,0.0
dp_full,p234616,0.0,74.84244110326654,0.0,0.0
dp_full,p24706,0.0,42.58788922337362,0.0,0.0
dp_full,p266388,0.0,161.75738441981957,0.0,0.0
dp_full,p275592,0.0,434.5735155729192,0.0,0.0
dp_full,p275765,0.0,278.19970071129137,0.0,0.0
dp_full,p278617,0.0,792.0784542903366,0.0,0.0
dp_full,p283287,0.0,33.64106545319032,0.0,0.0
dp_full,p285031,0.0,19.82295646533248,0.0,0.0
dp_full,p294460,0.0,41.45592186645081,0.0,0.0
dp_full,p304996,0.0,222.964212560536,0.0,0.0
dp_full,p306210,0.0,146.5048461923625,0.0,0.0
dp_full,p307899,0.0,2.633348916652267,0.0,0.0
dp_full,p309206,0.0,86.22092159393856,0.0,0.0
dp_full,p315474,0.0,264.9481111646294,0.0,0.0
dp_full,p322011,0.0,209.19200060895315,0.0,0.0
dp_full,p322366,0.0,236.66440194583103,0.0,0.0
dp_full,p326465,0.0,81.41819338433743,0.0,0.0
dp_full,p32764,0.0,288.4578415445902,0.0,0.0
dp_full,p33811,0.0,708.0208427465427,0.0,0.0
dp_full,p342159,0.0,556.973621784261,0.0,0.0
dp_full,p343335,0.0,226.22885692879527,0.0,0.0
dp_full,p351513,0.0,101.4344458037819,0.0,0.0
dp_full,p363298,0.0,205.81086003310972,0.0,0.0
dp_full,p369575,0.0,66.94623908789117,0.0,0.0
dp_full,p37249,0.0,42.86353504777162,0.0,0.0
dp_full,p386320,0.0,62.57448933005526,0.0,0.0
dp_full,p386424,0.0,75.6115904658227,0.0,0.0
dp_full,p387661,0.0,89.26511154825005,0.0,0.0
dp_full,p392387,0.0,54.01736551810245,0.0,0.0
dp_full,p40099,0.0,146.88566530571006,0.0,0.0
dp_full,p401066,0.0,518.2374685660534,0.0,0.0
dp_full,p409906,0.0,24.631885664871334,0.0,0.0
dp_full,p416680,0.0,24.241626007699324,0.0,0.0
dp_full,p419936,0.0,51.85821765856781,0.0,0.0
dp_full,p427124,0.0,20.757316119045758,0.0,0.0
dp_full,p432240,0.0,116.97174643050948,0.0,0.0
dp_full,p432933,0.0,122.65594080459164,0.0,0.0
dp_full,p437288,0.0,63.93225953387355,0.0,0.0
dp_full,p440523,0.0,40.69302784621868,0.0,0.0
dp_full,p441456,0.0,175.49399815538163,0.0,0.0
dp_full,p447134,0.0,119.3227869825671,0.0,0.0
dp_full,p47160,0.0,68.16920228903155,0.0,0.0
