solver,person,dev_true,dev_disturb,gap_true,gap_disturb
dp_full,r1048371,0.0,153.5806446484312,0.0,0.0
dp_full,r1062520,0.0,55.80478484042101,0.0,0.0
dp_full,r1096405,0.0,462.5143612207539,0.0,0.0
dp_full,r110739,0.0,737.2243832218082,0.0,0.0
dp_full,r231147,0.0,68.9287764921146,0.0,0.0
dp_full,r318347,0.0,1648.0004810096054,0.0,0.0
dp_full,r351663,0.0,147.8590044574098,0.0,0.0
dp_full,r374535,0.0,107.59139018966744,0.0,0.0
dp_full,r413162,0.0,352.122442650365,0.0,0.0
dp_full,r424506,0.0,169.82743925730574,0.0,0.0
dp_full,r437005,0.0,566.327714415005,0.0,0.0
dp_full,r447812,0.0,223.78988958186528,0.0,0.0
dp_full,r498274,0.0,67.51203590357545,0.0,0.0
dp_full,r546128,0.0,26.28000622131458,0.0,0.0
dp_full,r585692,0.0,17.306902363302925,0.0,0.0
dp_full,r640227,0.0,646.9793923967172,0.0,0.0
dp_full,r64840,0.0,128.67780974069797,0.0,0.0
dp_full,r649147,0.0,233.86312897511837,0.0,0.0
dp_full,r659661,0.0,55.67319482886978,0.0,0.0
dp_full,r670714,0.0,304.1236720912784,0.0,0.0
dp_full,r711966,0.0,75.33945541637877,0.0,0.0
dp_full,r761209,0.0,359.9825988688053,0.0,0.0
dp_full,r762375,0.0,829.5287724159734,0.0,0.0
dp_full,r768541,0.0,113.6408016612013,0.0,0.0
dp_full,r79279,0.0,42.76843411619757,0.0,0.0
dp_full,r822036,0.0,23.77098197712257,0.0,0.0
dp_full,r863505,0.0,64.17551661464677,0.0,0.0
dp_full,r865277,0.0,664.0288337536767,0.0,0.0
dp_full,r875697,0.0,111.20852907197876,0.0,0.0
dp_full,r956519,0.0,191.780627297112,0.0,0.0
dp_full,u106660,0.0,194.1943431222462,0.0,0.0
dp_full,u144623,0.0,550.454533644087,0.0,0.0
dp_full,u146404,0.0,24.82149163573513,0.0,0.0
dp_full,u170514,0.0,63.93269872019209,0.0,0.0
dp_full,u187137,0.0,97.09527452930342,0.0,0.0
dp_full,u23399,0.0,56.58474199818557,0.0,0.0
dp_full,u250630,0.0,49.25612660685147,0.0,0.0
dp_full,u260337,0.0,2652.0495299861136,0.0,0.0
dp_full,u29849,0.0,120.4905460681689,0.0,0.0
dp_full,u326477,0.0,65.96074718974,0.0,0.0
dp_full,u351724,0.0,1216.030924234938,0.0,0.0
dp_full,u351793,0.0,207.61887396626764,0.0,0.0
dp_full,u398647,0.0,34.93701858914574,0.0,0.0
dp_full,u399210,0.0,193.73363551747465,0.0,0.0
dp_full,u411635,0.0,930.9512029598122,0.0,0.0
dp_full,u431597,0.0,1003.3736919143448,0.0,0.0
dp_full,u449911,0.0,156.90284320517094,0.0,0.0
dp_full,u456770,0.0,533.0687039518546,0.0,0.0
dp_full,u462137,0.0,465.3769485058165,0.0,0.0
dp_full,u527788,0.0,24.458081082835637,0.0,0.0
dp_full,u59772,0.0,66.15159153929653,0.0,0.0
dp_full,u8174,0.0,29.684795577222985,0.0,0.0
carla,r1048371,0.0,153.5806446484312,0.0,0.0
carla,r1062520,0.0,55.80478484042101,0.0,0.0
carla,r1096405,0.0,462.5143612207539,0.0,0.0
carla,r110739,0.0,737.2243832218082,0.0,0.0
carla,r231147,0.0,68.9287764921146,0.0,0.0
carla,r318347,0.0,1648.0004810096054,0.0,0.0
carla,r351663,0.0,147.8590044574098,0.0,0.0
carla,r374535,0.0,107.59139018966744,0.0,0.0
